state_name,gender,category_name,aspirational_final,class,amount_of_scholarship
Gujarat,Girls,ST,Non-Aspirational,10,120000.0
Haryana,Boys,Gen,Non-Aspirational,6,80000.0
Haryana,Boys,Gen,Non-Aspirational,7,60000.0
Haryana,Boys,Gen,Non-Aspirational,8,130000.0
Haryana,Boys,Gen,Non-Aspirational,9,210000.0
Haryana,Boys,Gen,Non-Aspirational,10,270000.0
Haryana,Boys,OBC,Non-Aspirational,6,10000.0
Haryana,Boys,OBC,Non-Aspirational,7,40000.0
Haryana,Boys,OBC,Non-Aspirational,8,90000.0
Haryana,Boys,OBC,Non-Aspirational,9,170000.0
Haryana,Boys,OBC,Non-Aspirational,10,170000.0
Haryana,Boys,SC,Non-Aspirational,6,40000.0
Haryana,Boys,SC,Non-Aspirational,7,40000.0
Haryana,Boys,SC,Non-Aspirational,8,50000.0
Haryana,Boys,SC,Non-Aspirational,9,170000.0
Haryana,Boys,SC,Non-Aspirational,10,80000.0
Haryana,Girls,Gen,Non-Aspirational,6,70000.0
Haryana,Girls,Gen,Non-Aspirational,7,140000.0
Haryana,Girls,Gen,Non-Aspirational,8,140000.0
Haryana,Girls,Gen,Non-Aspirational,9,180000.0
Haryana,Girls,Gen,Non-Aspirational,10,310000.0
Haryana,Girls,OBC,Non-Aspirational,6,10000.0
Haryana,Girls,OBC,Non-Aspirational,7,20000.0
Haryana,Girls,OBC,Non-Aspirational,8,130000.0
Haryana,Girls,OBC,Non-Aspirational,9,160000.0
Haryana,Girls,OBC,Non-Aspirational,10,180000.0
Haryana,Girls,SC,Non-Aspirational,7,60000.0
Haryana,Girls,SC,Non-Aspirational,8,40000.0
Haryana,Girls,SC,Non-Aspirational,9,140000.0
Haryana,Girls,SC,Non-Aspirational,10,140000.0
Himachal Pradesh,Boys,Gen,Aspirational,6,10000.0
Himachal Pradesh,Boys,Gen,Aspirational,7,30000.0
Himachal Pradesh,Boys,Gen,Aspirational,9,30000.0
Himachal Pradesh,Boys,Gen,Aspirational,10,20000.0
Himachal Pradesh,Boys,Gen,Non-Aspirational,6,130000.0
Himachal Pradesh,Boys,Gen,Non-Aspirational,7,220000.0
Himachal Pradesh,Boys,Gen,Non-Aspirational,8,360000.0
Himachal Pradesh,Boys,Gen,Non-Aspirational,9,500000.0
Himachal Pradesh,Boys,Gen,Non-Aspirational,10,450000.0
Himachal Pradesh,Boys,OBC,Non-Aspirational,6,10000.0
Himachal Pradesh,Boys,OBC,Non-Aspirational,7,30000.0
Himachal Pradesh,Boys,OBC,Non-Aspirational,8,50000.0
Himachal Pradesh,Boys,OBC,Non-Aspirational,9,90000.0
Himachal Pradesh,Boys,OBC,Non-Aspirational,10,90000.0
Himachal Pradesh,Boys,SC,Aspirational,10,20000.0
Himachal Pradesh,Boys,SC,Non-Aspirational,6,60000.0
Himachal Pradesh,Boys,SC,Non-Aspirational,7,90000.0
Himachal Pradesh,Boys,SC,Non-Aspirational,8,170000.0
Himachal Pradesh,Boys,SC,Non-Aspirational,9,160000.0
Himachal Pradesh,Boys,SC,Non-Aspirational,10,120000.0
Himachal Pradesh,Boys,ST,Aspirational,7,10000.0
Himachal Pradesh,Boys,ST,Aspirational,9,20000.0
