state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Jammu & Kashmir,OBC,False,0.75,20000.0,True,False
Jammu & Kashmir,OBC,False,1.0,50000.0,True,False
Jammu & Kashmir,SC,True,0.75,10000.0,True,False
Jammu & Kashmir,SC,False,0.0,10000.0,True,False
Jammu & Kashmir,SC,False,0.25,50000.0,True,False
Jammu & Kashmir,SC,False,0.5,90000.0,True,False
Jammu & Kashmir,SC,False,1.0,60000.0,True,False
Jammu & Kashmir,ST,True,0.0,20000.0,True,False
Jammu & Kashmir,ST,True,0.25,10000.0,True,False
Jammu & Kashmir,ST,True,0.5,30000.0,True,False
Jammu & Kashmir,ST,True,0.75,10000.0,True,False
Jammu & Kashmir,ST,False,0.0,70000.0,True,False
Jammu & Kashmir,ST,False,0.25,60000.0,True,False
Jammu & Kashmir,ST,False,0.5,40000.0,True,False
Jammu & Kashmir,ST,False,0.75,50000.0,True,False
Jammu & Kashmir,ST,False,1.0,60000.0,True,False
Jammu & Kashmir,Gen,True,0.0,180000.0,False,False
Jammu & Kashmir,Gen,True,0.25,80000.0,False,False
Jammu & Kashmir,Gen,True,0.5,170000.0,False,False
Jammu & Kashmir,Gen,True,0.75,160000.0,False,False
Jammu & Kashmir,Gen,True,1.0,50000.0,False,False
Jammu & Kashmir,Gen,False,0.0,310000.0,False,False
Jammu & Kashmir,Gen,False,0.25,440000.0,False,False
Jammu & Kashmir,Gen,False,0.5,590000.0,False,False
Jammu & Kashmir,Gen,False,0.75,530000.0,False,False
Jammu & Kashmir,Gen,False,1.0,470000.0,False,False
Jammu & Kashmir,OBC,True,0.0,30000.0,False,False
Jammu & Kashmir,OBC,True,0.75,20000.0,False,False
Jammu & Kashmir,OBC,True,1.0,10000.0,False,False
Jammu & Kashmir,OBC,False,0.0,10000.0,False,False
Jammu & Kashmir,OBC,False,0.25,40000.0,False,False
Jammu & Kashmir,OBC,False,0.5,90000.0,False,False
Jammu & Kashmir,OBC,False,0.75,30000.0,False,False
Jammu & Kashmir,OBC,False,1.0,20000.0,False,False
Jammu & Kashmir,SC,False,0.0,30000.0,False,False
Jammu & Kashmir,SC,False,0.25,20000.0,False,False
Jammu & Kashmir,SC,False,0.5,70000.0,False,False
Jammu & Kashmir,SC,False,0.75,20000.0,False,False
Jammu & Kashmir,SC,False,1.0,40000.0,False,False
Jammu & Kashmir,ST,True,0.75,10000.0,False,False
Jammu & Kashmir,ST,False,0.0,20000.0,False,False
Jammu & Kashmir,ST,False,0.25,50000.0,False,False
